               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026359,             0.01084,            0.002889,             0.84751,             0.83511,             0.87513,             0.58367,            0.023113,           0.0049387,           0.0016328,           0.0093733,           0.0093733,           0.0093733
                  36,            0.026119,            0.010607,           0.0026129,             0.83369,             0.82618,             0.87028,             0.58337,            0.022719,           0.0050053,           0.0022199,           0.0093369,           0.0093369,           0.0093369
                  37,            0.026175,            0.010862,           0.0027249,             0.84743,             0.83293,              0.8622,             0.58369,            0.023213,           0.0050476,           0.0022888,           0.0092995,           0.0092995,           0.0092995
                  38,            0.025702,            0.010709,           0.0026531,             0.81575,             0.83756,             0.85617,             0.57958,            0.023299,           0.0050309,           0.0024731,           0.0092611,           0.0092611,           0.0092611
                  39,            0.025829,            0.010448,           0.0026932,             0.83949,             0.82469,             0.85627,             0.58398,            0.022822,           0.0049538,           0.0041284,           0.0092219,           0.0092219,           0.0092219
                  40,            0.025817,            0.010268,           0.0024508,             0.87151,             0.79744,             0.86851,              0.5788,            0.023119,           0.0050864,           0.0032332,           0.0091817,           0.0091817,           0.0091817
                  41,            0.025809,            0.010439,           0.0025709,             0.88352,             0.81673,             0.88696,             0.59799,            0.022657,           0.0049129,           0.0019203,           0.0091406,           0.0091406,           0.0091406
                  42,            0.024961,            0.010493,           0.0023276,             0.90525,             0.82393,             0.89002,             0.58603,               0.023,           0.0050303,           0.0021466,           0.0090986,           0.0090986,           0.0090986
                  43,            0.024962,            0.010411,           0.0023705,             0.89145,             0.83616,             0.89934,              0.6055,            0.022498,           0.0049898,            0.002108,           0.0090557,           0.0090557,           0.0090557
                  44,             0.02509,             0.01047,           0.0021448,              0.8623,             0.83888,             0.88761,             0.59853,            0.022402,           0.0048835,           0.0017239,           0.0090119,           0.0090119,           0.0090119
                  45,            0.025091,            0.010396,           0.0021995,             0.86321,             0.84396,             0.89176,             0.59054,             0.02244,           0.0050056,           0.0014833,           0.0089673,           0.0089673,           0.0089673
                  46,            0.024675,            0.010234,           0.0021517,             0.87609,             0.84532,             0.88673,             0.58406,            0.022325,           0.0050856,           0.0017069,           0.0089218,           0.0089218,           0.0089218
                  47,            0.024718,            0.010246,           0.0022065,             0.88077,             0.83859,             0.88275,             0.59604,            0.022597,           0.0050374,           0.0020164,           0.0088755,           0.0088755,           0.0088755
                  48,            0.024655,            0.010393,           0.0022069,             0.88687,             0.82229,             0.88357,             0.59888,            0.022191,           0.0049702,           0.0021675,           0.0088283,           0.0088283,           0.0088283
                  49,            0.024615,            0.010282,           0.0020446,             0.87094,             0.81251,             0.86851,             0.58851,            0.022647,           0.0050657,           0.0024983,           0.0087804,           0.0087804,           0.0087804
                  50,            0.024716,            0.010307,           0.0024596,             0.84683,             0.83955,             0.87682,             0.59415,            0.022168,           0.0050421,           0.0020849,           0.0087316,           0.0087316,           0.0087316
                  51,            0.024432,            0.010211,           0.0020603,              0.8736,              0.8436,             0.88611,             0.60789,            0.021838,           0.0049657,           0.0016401,            0.008682,            0.008682,            0.008682
                  52,            0.024778,            0.010188,           0.0021894,             0.86763,             0.82994,             0.86862,             0.59974,            0.022061,           0.0050539,           0.0012079,           0.0086316,           0.0086316,           0.0086316
                  53,            0.024326,            0.010108,           0.0021066,             0.87772,             0.83369,             0.88271,             0.59974,            0.022251,           0.0049699,           0.0014852,           0.0085805,           0.0085805,           0.0085805
                  54,            0.024266,            0.010008,           0.0018399,             0.89116,             0.81526,             0.88725,              0.6065,            0.022082,           0.0049526,           0.0014726,           0.0085286,           0.0085286,           0.0085286
                  55,            0.023875,            0.010102,           0.0021554,             0.85717,             0.86306,             0.89552,             0.60902,             0.02206,           0.0049002,           0.0017175,           0.0084759,           0.0084759,           0.0084759
                  56,            0.023912,           0.0099356,           0.0020133,              0.8797,             0.82495,             0.88611,             0.60391,            0.022779,           0.0049997,           0.0028559,           0.0084225,           0.0084225,           0.0084225
                  57,            0.024068,           0.0099484,           0.0019473,             0.88587,             0.82823,             0.88898,             0.61276,            0.022233,           0.0048833,           0.0013722,           0.0083684,           0.0083684,           0.0083684
                  58,            0.023687,             0.01001,            0.002256,             0.88102,             0.83321,             0.89692,             0.61753,            0.022269,           0.0049842,           0.0016234,           0.0083136,           0.0083136,           0.0083136
                  59,            0.023862,            0.010094,            0.001941,              0.8536,             0.84851,             0.87384,             0.60062,            0.021856,           0.0048534,           0.0017554,           0.0082581,           0.0082581,           0.0082581
                  60,            0.023824,           0.0098633,           0.0017785,             0.86419,             0.84187,             0.88291,             0.60771,             0.02192,           0.0049402,           0.0014624,           0.0082019,           0.0082019,           0.0082019
                  61,            0.023646,           0.0098934,           0.0021524,             0.87686,             0.81033,             0.87925,             0.60845,            0.022395,           0.0049692,           0.0020118,            0.008145,            0.008145,            0.008145
                  62,            0.023008,           0.0096666,           0.0016352,             0.90033,             0.82111,             0.88722,              0.6067,            0.021864,           0.0049239,           0.0013781,           0.0080875,           0.0080875,           0.0080875
                  63,            0.023138,            0.009823,           0.0019678,             0.86615,             0.86161,             0.88933,             0.59956,            0.022008,            0.004973,           0.0021588,           0.0080294,           0.0080294,           0.0080294
                  64,            0.023213,           0.0097196,           0.0018588,             0.87138,             0.82875,             0.88395,             0.60724,            0.022141,            0.004903,           0.0015131,           0.0079706,           0.0079706,           0.0079706
                  65,            0.023013,           0.0096432,           0.0019803,             0.85482,             0.85013,             0.89045,             0.60814,             0.02181,           0.0049662,           0.0020561,           0.0079112,           0.0079112,           0.0079112
                  66,            0.022892,           0.0096097,           0.0018152,             0.87328,             0.82476,             0.87918,             0.61397,            0.021648,           0.0049282,           0.0021653,           0.0078512,           0.0078512,           0.0078512
                  67,            0.022684,            0.009582,           0.0016558,             0.88981,              0.8495,             0.90208,              0.6204,            0.021886,           0.0048545,            0.001707,           0.0077907,           0.0077907,           0.0077907
                  68,             0.02291,           0.0095696,           0.0018957,             0.86008,             0.86983,             0.89982,             0.61864,            0.022133,           0.0049439,           0.0014124,           0.0077296,           0.0077296,           0.0077296
                  69,            0.022744,           0.0098525,           0.0017064,             0.90204,             0.81294,             0.87767,             0.61264,             0.02165,           0.0049447,           0.0020274,           0.0076679,           0.0076679,           0.0076679
                  70,            0.022299,            0.009577,           0.0014246,             0.87761,             0.82128,             0.88137,             0.61152,             0.02172,           0.0048539,           0.0018412,           0.0076057,           0.0076057,           0.0076057
                  71,            0.022558,           0.0094041,           0.0017164,             0.88379,             0.83469,             0.87583,             0.60904,             0.02204,           0.0049386,           0.0012276,            0.007543,            0.007543,            0.007543
                  72,            0.022427,           0.0097131,           0.0017097,             0.86751,             0.83233,              0.8765,             0.61455,             0.02162,           0.0049793,           0.0019305,           0.0074797,           0.0074797,           0.0074797
                  73,            0.022474,           0.0096496,           0.0019072,             0.85399,             0.85318,             0.89187,              0.6107,            0.021675,           0.0049398,           0.0017975,            0.007416,            0.007416,            0.007416
                  74,            0.022329,           0.0093218,           0.0014768,             0.91785,             0.83084,              0.8946,             0.61985,            0.021564,           0.0050091,            0.001476,           0.0073518,           0.0073518,           0.0073518
                  75,            0.022121,           0.0093734,           0.0015285,             0.87506,             0.83835,             0.88198,             0.60963,            0.021801,           0.0050031,           0.0015313,           0.0072872,           0.0072872,           0.0072872
                  76,            0.022286,           0.0094355,           0.0017409,             0.89864,             0.83638,             0.89076,             0.61565,            0.021942,           0.0049752,           0.0013489,           0.0072221,           0.0072221,           0.0072221
                  77,            0.021769,           0.0092419,           0.0016012,             0.85173,             0.85742,             0.88262,             0.61631,            0.021758,           0.0049693,           0.0018669,           0.0071566,           0.0071566,           0.0071566
                  78,            0.022118,           0.0091903,            0.001549,             0.88728,             0.86398,             0.89063,             0.61782,            0.021731,           0.0050544,           0.0017067,           0.0070906,           0.0070906,           0.0070906
                  79,            0.021722,           0.0092439,           0.0014184,             0.87411,             0.83493,             0.87834,             0.61729,            0.022023,           0.0050074,           0.0017832,           0.0070243,           0.0070243,           0.0070243
                  80,            0.021607,           0.0092726,           0.0011787,             0.86466,             0.84795,             0.88135,             0.62105,            0.022007,           0.0049244,           0.0016826,           0.0069576,           0.0069576,           0.0069576
                  81,             0.02146,           0.0089835,           0.0014559,             0.89717,              0.8231,             0.88012,             0.61021,            0.021933,           0.0050921,           0.0020868,           0.0068906,           0.0068906,           0.0068906
                  82,            0.021591,           0.0089691,           0.0013707,             0.87712,             0.83692,             0.88044,             0.60712,            0.022226,           0.0051857,           0.0022163,           0.0068232,           0.0068232,           0.0068232
                  83,            0.021161,            0.009034,           0.0014292,             0.87267,             0.84514,             0.88434,             0.61737,             0.02162,           0.0050364,           0.0011864,           0.0067555,           0.0067555,           0.0067555
                  84,            0.021548,           0.0090908,           0.0014531,             0.86873,             0.84951,             0.88946,             0.62418,             0.02147,           0.0049436,           0.0020695,           0.0066874,           0.0066874,           0.0066874
                  85,            0.021222,           0.0089739,           0.0016605,             0.89786,              0.8323,             0.88745,             0.62152,            0.021633,           0.0050115,           0.0013217,           0.0066191,           0.0066191,           0.0066191
                  86,            0.021343,            0.009133,           0.0014233,             0.87873,             0.83678,             0.88271,             0.61876,             0.02167,           0.0048987,           0.0015372,           0.0065505,           0.0065505,           0.0065505
                  87,            0.021053,           0.0089397,           0.0013027,             0.90841,             0.85354,             0.90975,             0.63012,            0.021736,           0.0049854,          0.00097264,           0.0064816,           0.0064816,           0.0064816
                  88,            0.021049,            0.009048,           0.0014594,             0.91282,             0.83234,             0.89522,             0.61821,            0.022018,           0.0050375,           0.0012532,           0.0064125,           0.0064125,           0.0064125
                  89,            0.020947,             0.00895,           0.0012251,             0.91146,             0.83013,             0.89221,             0.62037,            0.021931,           0.0050527,          0.00096554,           0.0063432,           0.0063432,           0.0063432
                  90,            0.020326,           0.0088184,           0.0011189,             0.90434,             0.84136,             0.88706,             0.61735,            0.021901,           0.0050899,           0.0018072,           0.0062737,           0.0062737,           0.0062737
                  91,            0.020549,           0.0087711,           0.0011693,             0.89748,             0.84223,             0.89229,             0.61474,             0.02209,           0.0051573,           0.0013745,            0.006204,            0.006204,            0.006204
                  92,            0.020588,           0.0089011,           0.0013269,             0.89031,             0.85375,             0.88933,             0.61685,            0.022011,            0.005209,           0.0016688,           0.0061341,           0.0061341,           0.0061341
                  93,            0.020438,              0.0088,           0.0012236,             0.91396,             0.82754,             0.89254,             0.61478,            0.021869,           0.0051575,             0.00143,            0.006064,            0.006064,            0.006064
                  94,            0.020241,           0.0086581,           0.0011958,             0.85708,             0.85056,             0.87429,             0.60943,             0.02218,           0.0051288,            0.001792,           0.0059938,           0.0059938,           0.0059938
                  95,            0.020376,           0.0088452,           0.0013193,             0.88865,             0.86024,              0.8937,             0.61595,            0.021784,           0.0050358,           0.0013085,           0.0059235,           0.0059235,           0.0059235
                  96,            0.020337,           0.0088109,          0.00089724,             0.88478,             0.85422,             0.89678,              0.6172,            0.021341,           0.0050308,           0.0014703,           0.0058531,           0.0058531,           0.0058531
                  97,            0.020223,           0.0086996,           0.0010844,             0.89035,             0.85001,             0.89084,             0.61828,            0.021634,           0.0051149,           0.0014296,           0.0057826,           0.0057826,           0.0057826
                  98,            0.020157,           0.0085942,           0.0011547,             0.89099,             0.85121,             0.88636,             0.61667,            0.021669,           0.0052066,           0.0011108,            0.005712,            0.005712,            0.005712
                  99,            0.020007,           0.0087314,           0.0014811,             0.88399,              0.8384,             0.88128,             0.61729,            0.021624,           0.0051031,           0.0015085,           0.0056413,           0.0056413,           0.0056413
                 100,            0.020242,            0.008813,           0.0019618,             0.89749,             0.83239,             0.88439,             0.60741,            0.022055,            0.005205,            0.001504,           0.0055707,           0.0055707,           0.0055707
                 101,            0.020292,           0.0088426,           0.0014998,             0.88914,             0.82868,             0.88525,             0.61398,            0.021916,           0.0051406,           0.0012039,              0.0055,              0.0055,              0.0055
                 102,            0.019935,           0.0088547,           0.0012425,             0.89899,             0.85088,             0.88953,              0.6203,            0.021911,           0.0050684,           0.0012385,           0.0054293,           0.0054293,           0.0054293
                 103,            0.019618,           0.0085334,          0.00091515,             0.90939,             0.84438,             0.88243,             0.61347,             0.02196,            0.005149,           0.0013792,           0.0053587,           0.0053587,           0.0053587
                 104,            0.019318,           0.0084083,          0.00096707,             0.92205,             0.84237,             0.89089,             0.62398,            0.021706,           0.0051448,           0.0013191,            0.005288,            0.005288,            0.005288
                 105,            0.019077,           0.0083208,          0.00096482,              0.9115,             0.85044,             0.88547,             0.61217,            0.021776,            0.005243,           0.0015759,           0.0052174,           0.0052174,           0.0052174
                 106,            0.019552,           0.0084504,           0.0010888,             0.90289,             0.85486,             0.89356,             0.61743,            0.021766,           0.0052138,           0.0017061,           0.0051469,           0.0051469,           0.0051469
                 107,            0.019233,           0.0084615,          0.00093148,             0.90273,             0.83557,             0.89002,             0.61174,            0.021346,            0.005192,             0.00194,           0.0050765,           0.0050765,           0.0050765
