               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.015179,           0.0070781,          0.00053113,             0.90338,             0.83417,             0.87298,              0.6158,             0.02207,           0.0057989,           0.0013266,           0.0021245,           0.0021245,           0.0021245
                 156,            0.015108,           0.0069111,          0.00050293,             0.90389,             0.83562,              0.8746,               0.618,             0.02214,           0.0058151,           0.0013366,           0.0020782,           0.0020782,           0.0020782
                 157,            0.014963,           0.0070008,          0.00041674,             0.91475,             0.83003,             0.87558,             0.61944,            0.022166,           0.0058216,           0.0013084,           0.0020327,           0.0020327,           0.0020327
                 158,            0.015018,           0.0069679,          0.00045305,             0.89639,             0.84115,             0.87569,             0.61962,            0.022195,           0.0058384,           0.0014189,           0.0019881,           0.0019881,           0.0019881
                 159,            0.014967,           0.0067895,          0.00033372,             0.88932,             0.84631,             0.87225,              0.6183,            0.022225,           0.0058558,           0.0015109,           0.0019443,           0.0019443,           0.0019443
                 160,            0.014825,           0.0068323,          0.00039907,             0.89802,             0.84117,             0.87385,             0.61677,            0.022284,           0.0058969,           0.0014721,           0.0019014,           0.0019014,           0.0019014
                 161,            0.014759,           0.0068941,          0.00028026,             0.89312,             0.83951,              0.8736,             0.61765,            0.022311,           0.0059034,           0.0014245,           0.0018594,           0.0018594,           0.0018594
                 162,            0.014738,           0.0067135,          0.00032226,             0.89506,             0.84019,             0.87149,             0.61807,            0.022362,           0.0059286,             0.00139,           0.0018183,           0.0018183,           0.0018183
                 163,            0.014788,            0.006752,          0.00034925,             0.89357,             0.83854,             0.87253,              0.6187,             0.02239,           0.0059467,           0.0013484,           0.0017781,           0.0017781,           0.0017781
                 164,            0.014349,           0.0066798,          0.00029412,             0.89193,             0.84039,              0.8727,             0.61803,            0.022431,           0.0059715,           0.0014061,           0.0017389,           0.0017389,           0.0017389
                 165,             0.01465,           0.0067617,          0.00035718,             0.88381,             0.84955,             0.87432,             0.61779,            0.022422,           0.0059729,           0.0014244,           0.0017005,           0.0017005,           0.0017005
                 166,            0.014319,           0.0066662,          0.00028319,             0.89498,              0.8487,             0.87829,             0.61812,            0.022452,           0.0059811,           0.0014392,           0.0016631,           0.0016631,           0.0016631
                 167,            0.014403,           0.0066174,          0.00035114,             0.89276,             0.84869,             0.87952,             0.61729,            0.022475,           0.0059981,           0.0014342,           0.0016267,           0.0016267,           0.0016267
                 168,            0.014522,           0.0067982,          0.00044716,             0.90731,             0.84254,             0.88091,             0.61745,            0.022481,           0.0060115,           0.0014492,           0.0015912,           0.0015912,           0.0015912
                 169,            0.014111,           0.0066302,          0.00033541,             0.90697,             0.84337,             0.88162,             0.61817,            0.022447,           0.0060223,           0.0014452,           0.0015566,           0.0015566,           0.0015566
                 170,            0.014121,           0.0065619,          0.00028227,             0.90119,             0.85364,             0.88218,             0.61784,            0.022471,           0.0060279,           0.0014562,           0.0015231,           0.0015231,           0.0015231
                 171,            0.013988,           0.0066137,          0.00034907,             0.90201,             0.85417,             0.88214,             0.61808,            0.022463,           0.0060436,           0.0014533,           0.0014905,           0.0014905,           0.0014905
                 172,            0.013992,           0.0066506,          0.00050941,              0.9038,             0.85253,             0.88197,             0.61852,            0.022466,           0.0060557,           0.0014449,           0.0014589,           0.0014589,           0.0014589
                 173,            0.013857,           0.0065742,           0.0003025,              0.9041,             0.85436,             0.88314,             0.61831,              0.0225,           0.0060686,           0.0014322,           0.0014283,           0.0014283,           0.0014283
                 174,            0.014059,           0.0064869,          0.00036677,             0.90499,             0.85357,             0.88309,              0.6188,            0.022508,           0.0060715,           0.0014126,           0.0013987,           0.0013987,           0.0013987
                 175,            0.013716,           0.0065394,          0.00033885,             0.90443,             0.85573,             0.88482,             0.61999,            0.022522,           0.0060783,           0.0013776,           0.0013701,           0.0013701,           0.0013701
                 176,            0.014086,           0.0065654,          0.00027448,             0.90469,             0.85493,             0.88513,             0.62018,            0.022557,           0.0060923,            0.001346,           0.0013425,           0.0013425,           0.0013425
                 177,            0.013938,           0.0064889,          0.00031189,             0.89869,             0.85442,             0.88013,             0.61915,            0.022585,           0.0061117,           0.0013184,            0.001316,            0.001316,            0.001316
                 178,            0.013852,           0.0064993,          0.00033183,             0.89964,             0.85265,             0.87974,             0.61937,             0.02261,           0.0061302,           0.0013207,           0.0012905,           0.0012905,           0.0012905
                 179,            0.013524,           0.0065501,            0.000374,               0.895,             0.85744,             0.88029,             0.61975,            0.022629,           0.0061421,           0.0013333,            0.001266,            0.001266,            0.001266
                 180,            0.013769,           0.0065081,          0.00027812,             0.89592,             0.85751,             0.87869,             0.61846,            0.022658,           0.0061594,           0.0013527,           0.0012426,           0.0012426,           0.0012426
                 181,            0.013644,           0.0064689,          0.00035673,             0.92639,             0.82964,             0.87823,             0.61845,            0.022689,           0.0061818,           0.0014021,           0.0012202,           0.0012202,           0.0012202
                 182,            0.013593,           0.0063288,          0.00035227,             0.92624,             0.83071,             0.87758,              0.6166,            0.022682,           0.0062015,           0.0014038,           0.0011989,           0.0011989,           0.0011989
                 183,            0.013612,            0.006349,           0.0003925,             0.89856,             0.85337,             0.87747,             0.61726,            0.022675,           0.0062062,           0.0013859,           0.0011787,           0.0011787,           0.0011787
                 184,            0.013475,           0.0063918,          0.00034756,             0.90789,             0.84558,             0.87673,             0.61679,            0.022708,            0.006221,            0.001387,           0.0011595,           0.0011595,           0.0011595
                 185,            0.013313,           0.0063817,          0.00029601,             0.90663,              0.8474,             0.87673,             0.61675,            0.022723,            0.006226,           0.0013687,           0.0011414,           0.0011414,           0.0011414
                 186,            0.013394,           0.0063492,          0.00030318,             0.91659,             0.83756,             0.87475,             0.61504,            0.022738,            0.006236,           0.0013687,           0.0011243,           0.0011243,           0.0011243
                 187,            0.013266,           0.0064266,          0.00031973,             0.91658,             0.83752,             0.87594,             0.61734,            0.022734,           0.0062421,           0.0013739,           0.0011084,           0.0011084,           0.0011084
